"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Minerva 2015","1","B","06.28.2015","9:00:00","9.20000","39.10000","2","57.8","0.48","36.4","12","8"
"Minerva 2015","1","B","06.28.2015","9:00:00","9.20000","39.10000","15","39.3","0.66","47.66","6","7"
"Minerva 2015","1","B","06.28.2015","9:00:00","9.20000","39.10000","20","88.9","0.67","28.94","13","4"
"Minerva 2015","1","B","06.28.2015","9:00:00","9.20000","39.10000","30","41","1.71","96.05","2","6"
"Minerva 2015","1","B","06.28.2015","9:00:00","9.20000","39.10000","50","37.4","0.62","155.7","6","25"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","2","72","","50.2","",""
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","35","24.3","0.57","52.9","4","9"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","75","26.3","1.03","99.9","3","10"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","150","35","0.67","94.7","5","14"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","250","38.8","1.78","117.7","2","7"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","500","37.7","1.72","149.1","2","9"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","1000","45.7","1.78","136.67","3","8"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","1500","49","0.24","133.22","20","56"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","2000","56.6","0.64","178.34","9","28"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","2500","54.7","0.69","121.22","8","18"
"Minerva 2015","2","B","06.29.2015","9:50:00","10.93333","40.20000","2730","74.1","","132.3","",""
"Minerva 2015","3","B","06.30.2015","16:00:00","9.25000","41.26667","2","26.6","0.72","94.69","4","13"
"Minerva 2015","3","B","06.30.2015","16:00:00","9.25000","41.26667","20","27.5","0.43","86.6","6","20"
"Minerva 2015","3","B","06.30.2015","16:00:00","9.25000","41.26667","30","16.3","0.31","113.05","5","36"
"Minerva 2015","3","B","06.30.2015","16:00:00","9.25000","41.26667","59","14.3","0.45","84.6","3","19"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","2","23.8","0.34","53","7","16"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","30","23.9","0.37","66.7","6","18"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","75","20.3","0.23","75.5","9","33"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","140","25.1","0.23","160","11","70"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","300","20.6","0.42","136.77","5","33"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","600","20.2","0.43","135.1","5","31"
"Minerva 2015","4","B","7/1/2015","15:00:00","8.96667","44.06667","924","17","0.55","132.56","3","24"
"Minerva 2015","5","B","7/2/2015","18:00:00","10.36667","43.36667","2","35.1","0.43","84.96","8","20"
"Minerva 2015","5","B","7/2/2015","18:00:00","10.36667","43.36667","17","41.5","0.81","105.6","5","13"
"Minerva 2015","5","B","7/2/2015","18:00:00","10.36667","43.36667","40","44.4","1","166.66","4","17"
"Minerva 2015","6","B","3/7/2015","18:45:00","11.65000","42.06667","2","52.3","0.33","119.74","16","36"
"Minerva 2015","6","B","3/7/2015","18:45:00","11.65000","42.06667","30","16","0.26","112.87","6","43"
"Minerva 2015","6","B","3/7/2015","18:45:00","11.65000","42.06667","50","21.7","0.27","105.4","8","39"
"Minerva 2015","6","B","3/7/2015","18:45:00","11.65000","42.06667","80","43.6","0.33","75.61","13","23"
"Minerva 2015","6","B","3/7/2015","18:45:00","11.65000","42.06667","110","42.7","0.63","104.01","7","17"
"Minerva 2015","7","B","4/7/2015","15:40:00","12.18333","41.60000","2","18.2","0.26","59.8","7","23"
"Minerva 2015","7","B","4/7/2015","15:40:00","12.18333","41.60000","35","20","0.65","58.33","3","9"
"Minerva 2015","7","B","4/7/2015","15:40:00","12.18333","41.60000","50","17.4","0.22","85.63","8","39"
"Minerva 2015","7","B","4/7/2015","15:40:00","12.18333","41.60000","80","32.5","0.45","105.04","7","23"
"Minerva 2015","7","B","4/7/2015","15:40:00","12.18333","41.60000","127","18","0.37","116.2","5","31"
"Minerva 2015","8","B","5/7/2015","0.1.1900 17:50","14.23770","40.80052","2","39.4","0.81","42.85","5","5"
"Minerva 2015","8","B","5/7/2015","0.1.1900 17:50","14.23770","40.80052","10","41.6","","74.9","",""
"Minerva 2015","8","B","5/7/2015","0.1.1900 17:50","14.23770","40.80052","25","36.7","0.36","37.1","10","10"
"Minerva 2015","8","B","5/7/2015","0.1.1900 17:50","14.23770","40.80052","49","22.4","0.91","36.6","2","4"
"Minerva 2015","8","B","5/7/2015","0.1.1900 17:50","14.23770","40.80052","69","34.3","0.93","79.17","4","9"
"Minerva 2015","8","B","5/7/2015","0.1.1900 17:50","14.23770","40.80052","78","25.6","0.73","54.09","4","7"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","2","27.6","0.51","97.29","5","19"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","30","24.1","0.69","139","3","20"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","55","22.5","0.38","105.5","6","28"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","150","52","0.4","82.9","13","21"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","650","48.9","0.36","62.7","14","17"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","1200","83","0.6","88.2","14","15"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","1700","74.4","0.95","110.5","8","12"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","2200","57.1","1.32","72.8","4","6"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","2700","55.7","0.93","55.08","6","6"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","3200","69","0.37","26.53","19","7"
"Minerva 2015","9","B","6/7/2015","0.1.1900 17:40","12.84370","39.70784","3573","67.1","0.39","40.94","17","10"
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","2","37","0.61","70.23","6","12"
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","25","20.6","0.49","44.8","4","9"
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","45","18.2","0.58","67.4","3","12"
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","90","35.3","0.55","110.2","6","20"
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","200","39.3","0.55","118.38","7","22"
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","500","52.1","","64.25","",""
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","800","63.2","","66.95","",""
"Minerva 2015","10","B","7/7/2015","0.1.1900 17:00","14.39417","39.24985","1042","36","0.97","104.2","4","11"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","2","23.3","0.58","94","4","16"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","35","22.5","0.24","83","9","35"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","55","8.6","0.35","80.9","2","23"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","87","35.4","0.31","119.7","11","39"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","100","27.3","0.46","97.24","6","21"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","400","36.6","0.73","115.81","5","16"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","700","55.9","1.32","74.65","4","6"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","900","80.3","0.73","80.63","11","11"
"Minerva 2015","11","B","8/7/2015","0.1.1900 14:15","15.16987","38.75524","1100","53.8","1.03","103.3","5","10"
"Minerva 2015","12","B","9/7/2015","0.1.1900 14:30","15.25449","38.30695","2","60.6","0.4","60.22","15","15"
"Minerva 2015","12","B","9/7/2015","0.1.1900 14:30","15.25449","38.30695","25","20.8","0.36","61.52","6","17"
"Minerva 2015","12","B","9/7/2015","0.1.1900 14:30","15.25449","38.30695","67","33.2","0.21","155.2","16","74"
"Minerva 2015","12","B","9/7/2015","0.1.1900 14:30","15.25449","38.30695","145","37","0.18","121.94","21","68"
"Minerva 2015","12","B","9/7/2015","0.1.1900 14:30","15.25449","38.30695","400","37.4","0.54","177.86","7","33"
"Minerva 2015","12","B","9/7/2015","0.1.1900 14:30","15.25449","38.30695","749","74","0.33","142.91","22","43"
"Minerva 2015","13","B","10/7/2015","0.1.1900 18:45","15.34367","37.18472","2","17.6","0.27","49.28","7","18"
"Minerva 2015","13","B","10/7/2015","0.1.1900 18:45","15.34367","37.18472","65","17.3","0.34","61.38","5","18"
"Minerva 2015","13","B","10/7/2015","0.1.1900 18:45","15.34367","37.18472","100","22.7","0.16","78.86","14","49"
"Minerva 2015","13","B","10/7/2015","0.1.1900 18:45","15.34367","37.18472","200","30.8","0.36","59.65","9","17"
"Minerva 2015","13","B","10/7/2015","0.1.1900 18:45","15.34367","37.18472","450","57.5","0.39","103.48","15","27"
"Minerva 2015","13","B","10/7/2015","0.1.1900 18:45","15.34367","37.18472","689","51.5","0.35","122.03","15","35"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
