"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Urania2000","A","B","07.15.2000","13:30:00","18.61670","36.78330","0","28.9","0.4","49","7","12"
"Urania2000","B","B","07.15.2000","10:00:00","22.06670","36.18330","0","57.4","0.27","40","21","15"
"Urania2000","C","B","07.15.2000","6:00:00","24.53330","34.08330","0","14.4","0.27","38","5","14"
"Urania2000","D","B","07.15.2000","3:00:00","28.05000","34.73330","0","27.9","0.21","66","13","31"
"Urania2000","E","B","07.15.2000","18:00:00","28.00000","32.66670","0","25.6","0.31","38","8","12"
"Urania2000","F","B","07.15.2000","13:30:00","26.00000","32.78330","0","63.2","0.31","53","20","17"
"Urania2000","G","B","07.15.2000","10:00:00","19.00000","33.00000","0","42.6","0.47","54","9","11"
"Urania2000","H","B","07.15.2000","10:00:00","17.50000","33.88330","0","47.3","0.31","52","15","17"
"Urania2000","H","B","07.15.2000","10:00:00","17.50000","33.88330","20","24.5","0.3","52","8","17"
"Urania2000","H","B","07.15.2000","10:00:00","17.50000","33.88330","100","34","0.31","52","11","17"
"Urania2000","H","B","07.15.2000","10:00:00","17.50000","33.88330","500","40.3","0.2","64","20","32"
"Urania2000","H","B","07.15.2000","10:00:00","17.50000","33.88330","1000","35.6","0.53","53","7","10"
"Urania2000","H","B","07.15.2000","10:00:00","17.50000","33.88330","2500","56.7","0.26","65","22","25"
"Urania2000","I","B","07.15.2000","23:30:00","14.26670","35.08330","0","32.9","0.42","50","8","12"
"Urania2000","I","B","07.15.2000","23:30:00","14.26670","35.08330","4000","48.3","0.28","53","17","19"
"Urania2000","L","B","07.15.2000","0:30:00","11.90000","37.26670","0","42.3","0.3","64","14","21"
"Urania2000","M","B","07.15.2000","14:30:00","11.86670","37.26670","0","104","0.43","55","24","13"
"Urania2000","14","B","07.15.2000","5:00:00","13.33330","39.66670","0","32.5","0.41","52","8","13"
"Urania2000","15","B","07.15.2000","17:00:00","11.83330","39.08330","0","41.7","","60","",""
"Urania2000","16","B","07.15.2000","8:00:00","10.41670","38.58330","0","15.8","0.26","63","6","24"
"Urania2000","17","B","07.15.2000","14:00:00","8.83330","38.25000","0","35.3","0.22","70","16","32"
"Urania2000","18","B","07.15.2000","8:30:00","7.25000","38.33330","0","14.5","0.25","79","6","32"
"Urania2000","19","B","07.15.2000","18:30:00","6.08330","39.41670","0","14.5","0.27","62","5","23"
"Urania2000","19","B","07.15.2000","18:30:00","6.08330","39.41670","20","25","0.31","60","8","19"
"Urania2000","19","B","07.15.2000","18:30:00","6.08330","39.41670","100","48.5","0.27","55","18","20"
"Urania2000","19","B","07.15.2000","18:30:00","6.08330","39.41670","500","88","0.33","55","27","17"
"Urania2000","19","B","07.15.2000","18:30:00","6.08330","39.41670","1000","66","0.35","65","19","19"
"Urania2000","19","B","07.15.2000","18:30:00","6.08330","39.41670","2780","79.5","0.39","58","20","15"
"Urania2000","20","B","07.15.2000","8:00:00","6.25000","40.85000","0","12.5","0.27","53","5","20"
"Urania2000","21","B","07.15.2000","17:30:00","7.80000","41.41670","0","18.5","0.3","55","6","18"
"Urania2000","22","B","07.15.2000","21:00:00","8.50000","41.16670","0","12","0.23","60","5","26"
"Urania2000","23","B","07.15.2000","6:15:00","9.65000","41.35000","0","5.3","0.19","58","3","31"
"Urania2000","24","B","07.15.2000","13:00:00","11.00000","41.66670","0","4","0.16","64","3","40"
"Urania2000","25","B","07.15.2000","16:45:00","11.70000","42.05000","0","5.8","0.21","65","3","31"
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","0","37.1","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","20","15.3","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","58","","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","250","44.4","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","500","47.3","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","1000","43","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","1500","51.7","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","2000","51.7","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","3000","63.4","","","",""
"Urania2009","1","B","06.25.2009","15:30:00","16.06861","36.83333","3251","61.9","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","0","20.8","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","50","22.8","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","120","24.8","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","250","32.7","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","500","26.7","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","1000","26.7","","","",""
"Urania2009","2","B","06.29.2009","7:00:00","18.16861","37.60000","2000","48.5","","","",""
