"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","0","50","0.76","20","7","3"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","10","53","0.53","108","10","20"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","18","25","0.43","24","6","6"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","25","41","0.4","26","10","7"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","36","35","0.33","34","11","10"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","64","43","0.1","18","43","18"
"Urania 2003","S1","B","6/8/2003","9:00:00","11.84100","37.32720","95","91","0.53","90","17","17"
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","0","17.4","","","",""
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","50","35","","","",""
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","100","37.2","","","",""
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","200","28.4","","","",""
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","400","28.4","","","",""
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","600","26.3","","","",""
"Urania 2003","S1a","B","7/8/2003","12:30:00","14.28670","36.50040","650","27.4","","","",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","0","31","0.082","22","38","27"
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","15","7","0.089","66","8","74"
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","36","10","0.038","","26",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","85","24","0.057","","42",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","170","27","0.05","","54",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","340","24","","","",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","1000","20","0.069","","29",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","2500","53","0.088","76","60","86"
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","3800","60","0.081","","74",""
"Urania 2003","S2","B","8/8/2003","9:30:00","17.91710","35.90050","4060","36","0.101","99","36",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","0","15","0.137","","11",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","15","80","0.153","","52",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","40","44","0.12","","37",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","90","30","0.136","","22",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","150","59","0.113","42","52","37"
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","700","61","0.097","","63",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","1000","56","0.137","","41",""
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","2000","28","0.142","32","20","23"
"Urania 2003","S3","B","10/8/2003","9:40:00","24.33270","34.31650","2235","42","0.203","96","21","47"
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","0","15.7","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","20","35.6","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","40","48.4","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","90","27","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","200","15.7","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","1000","37","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","2000","15.7","","","",""
"Urania 2003","S3a","B","11/8/2004","15:20:00","21.73000","36.22220","3800","19.9","","","",""
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","0","19","0.223","","9",""
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","20","25","0.214","28","12","13"
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","40","25","0.325","48","8","15"
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","75","20","0.265","19","8","7"
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","105","33","0.319","41","10","13"
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","300","27","0.132","138","20",""
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","550","52","0.289","65","18","22"
"Urania 2003","S4","B","8.13.2003","13:50:00","19.00060","39.99990","910","43","0.241","72","18","30"
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","0","14.4","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","20","9.3","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","40","40.2","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","75","9.3","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","100","41.3","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","300","20.6","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","500","37.1","","","",""
"Urania 2003","S4a","B","8.15.2003","14:30:00","15.26660","37.61670","730","39.2","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","0","17.7","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","20","12.1","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","40","16.8","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","75","17.7","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","100","20.5","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","300","13.1","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","500","23.3","","","",""
"Urania 2003","S4b","B","8.16.2003","2:45:00","15.56660","38.08330","940","21.5","","","",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","0","13","0.315","42","4","13"
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","20","4","0.128","","3",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","40","16","0.302","","5",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","60","13","0.279","","5",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","100","16","0.222","","7",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","400","47","0.356","52","13","15"
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","900","42","0.478","28","9","6"
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","1400","42","0.318","","13",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","2500","38","0.064","","59",""
"Urania 2003","S5","B","8.20.2004","14:00:00","5.35070","37.86690","2825","40","0.307","29","13","9"
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","0","12","0.304","57","4","19"
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","2","18","0.298","","6",""
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","20","18","0.125","38","14","30"
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","35","33","0.156","","21",""
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","60","9","0.215","","4",""
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","160","52","0.177","","29",""
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","200","57","0.26","110","22","42"
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","400","102","0.257","59","40","23"
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","800","62","0.18","38","34","21"
"Urania 2003","S6","B","8.23.2003","10:10:00","-4.00000","35.85000","893","50","0.305","52","16","17"
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","0","14","0.057","","25",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","25","23","0.063","","37",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","50","12","0.057","","21",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","95","35","0.086","","41",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","400","81","0.103","","79",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","1200","98","0.125","","78",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","2500","97","0.144","","67",""
"Urania 2003","S7","B","8.26.2003","1:00:00","6.47570","40.46700","2800","85","0.117","","73",""
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","0","21","0.374","62","6","17"
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","18","5","0.114","106","4",""
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","40","10","0.508","106","2","21"
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","70","29","0.09","84","32",""
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","150","31","0.123","129","25",""
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","400","34","0.267","127","13","48"
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","900","45","0.133","129","34",""
"Urania 2003","S8","B","8.27.2003","3:30:00","10.30000","41.88340","1130","48","0.083","65","58","78"
