"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","1","45","","83","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","40","36","","165","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","90","76","","107","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","500","128","","126","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","1000","143","","107","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","2000","132","","124","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","3000","115","","132","",""
"Urania Adriatic 2004","STZ 1","B","10.27.2004","8:55:00","12.14775","39.68372","3466","124","","104","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","1","45","","126","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","30","40","","96","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","50","33","","105","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","200","66","","128","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","500","83","","67","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","700","91","","97","",""
"Urania Adriatic 2004","STZ 2","B","10.29.2004","7:05:00","15.23411","38.30846","780","86","","99","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","1","24","","52","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","25","28","","115","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","40","25","","55","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","100","41","","78","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","150","45","","64","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","700","48","","67","",""
"Urania Adriatic 2004","STZ 4","B","10.31.2004","7:40:00","16.50072","38.00087","1505","31","","115","",""
