"cruise","station","type","mon/day/yr","time","longitude (?E)","latitude (?N)","Depth (m)","DGM (pg/L)","Total Hg (ng/L)","MeHg (pg/L)","%DGM","%MeHg"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","1","36.8","0.244","38","15","16"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","40","59","0.417","239","14","57"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","110","54.1","0.197","59","27","30"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","250","127","0.187","84","68","45"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","500","215.2","0.207","52","","25"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","900","169.3","0.18","70","94","39"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","1300","79","0.252","100","31","40"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","2100","47.4","0.248","144","19","58"
"Urania spring 2004","ST 1","B","3/19/2004","10:20:00","11.29908","40.49948","2884","200.2","0.313","92","64","29"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","1","31.7","0.099","","32",""
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","20","33.9","0.085","20","40","24"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","36","41.4","0.116","53","36","46"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","80","42.6","0.101","50","42","50"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","180","45.6","0.124","31","37","25"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","450","96.9","0.086","50","","58"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","900","110.5","0.148","","75",""
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","1400","124.2","0.372","82","33","22"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","2000","119.7","0.193","31","62","16"
"Urania spring 2004","ST 2","B","3/21/2004","23:00:00","7.97692","41.42394","2600","125.3","0.151","45","83","30"
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","1","31.6","0.162","","20",""
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","20","32.6","0.156","57","21","37"
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","60","73.1","0.143","","51",""
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","150","111.5","0.142","","79",""
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","400","142.5","0.13","25","","19"
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","600","138.1","0.135","42","","31"
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","1000","139.6","0.163","98","86","60"
"Urania spring 2004","ST 3","B","3/25/2004","13:10:00","5.35002","37.86636","2500","135.1","0.174","33","78","19"
